unix,date,symbol,open,high,low,close,Volume BTC,Volume USD
1533513600,2018-08-06,BTC/USD,7028.89,7157.93,6835.06,6936.11,7317.64296455,50755976.5428449
1533427200,2018-08-05,BTC/USD,7009.94,7086.8,6888.88,7032.61,6039.1351446,42470882.2092654
1533340800,2018-08-04,BTC/USD,7416.98,7494.48,6926.0,7009.99,6831.75139028,47890508.9283489
1533254400,2018-08-03,BTC/USD,7535.0,7542.92,7286.41,7416.98,9585.77930917,71097533.42052771
1533168000,2018-08-02,BTC/USD,7600.22,7709.98,7455.0,7536.37,5262.23613199,39658158.51804548
1533081600,2018-08-01,BTC/USD,7726.85,7761.56,7440.0,7602.01,11406.76843741,86714367.7288752
1532995200,2018-07-31,BTC/USD,8162.28,8162.37,7633.67,7725.43,11994.08614156,92659472.90059188
1532908800,2018-07-30,BTC/USD,8216.74,8295.0,7853.01,8160.21,11785.89207823,96175354.39569324
1532822400,2018-07-29,BTC/USD,8231.07,8299.99,8109.74,8216.74,3980.2794076,32704921.019603223
1532736000,2018-07-28,BTC/USD,8177.72,8259.0,8051.43,8237.74,2765.6804906,22782956.804635245
1532649600,2018-07-27,BTC/USD,7926.0,8274.98,7798.48,8183.05,8701.76587806,71206985.26845889
1532563200,2018-07-26,BTC/USD,8174.06,8314.23,7855.97,7926.0,8091.87166049,64136174.78104374
1532476800,2018-07-25,BTC/USD,8394.48,8475.0,8049.22,8174.06,10348.06857767,84585733.43798923
1532390400,2018-07-24,BTC/USD,7712.46,8496.96,7691.14,8403.83,18707.41156484,157213906.53094932
1532304000,2018-07-23,BTC/USD,7393.5,7800.0,7369.86,7719.62,12572.45317131,97054560.9503081
1532217600,2018-07-22,BTC/USD,7398.16,7581.03,7336.15,7396.6,5107.9788128,37781676.08675648
1532131200,2018-07-21,BTC/USD,7330.84,7458.0,7212.0,7409.92,4049.81022253,30008769.764129497
1532044800,2018-07-20,BTC/USD,7474.35,7696.88,7265.0,7330.84,9379.17143244,68757205.10378845
1531958400,2018-07-19,BTC/USD,7384.92,7570.9,7278.84,7471.42,8803.25309749,65772801.257648736
1531872000,2018-07-18,BTC/USD,7310.71,7599.98,7239.15,7378.1,13347.87429603,98481951.34353895
1531785600,2018-07-17,BTC/USD,6721.21,7468.31,6657.95,7310.71,12703.29651293,92870116.85004248
1531699200,2018-07-16,BTC/USD,6353.25,6755.0,6333.63,6721.04,9404.05647649,63205039.740748346
1531612800,2018-07-15,BTC/USD,6245.99,6397.21,6227.76,6349.3,3556.29310719,22579971.825481467
1531526400,2018-07-14,BTC/USD,6208.78,6317.84,6180.0,6243.98,2584.7339623,16139027.16592195
1531440000,2018-07-13,BTC/USD,6243.53,6337.25,6121.01,6215.59,5901.29571452,36680034.630213365
1531353600,2018-07-12,BTC/USD,6379.13,6380.0,6072.0,6243.88,7792.46685782,48655227.96420514
1531267200,2018-07-11,BTC/USD,6304.45,6400.0,6285.0,6380.0,6370.13680136,40641472.7926768
1531180800,2018-07-10,BTC/USD,6666.75,6683.9,6270.84,6299.46,9163.01977492,57722076.55131754
1531094400,2018-07-09,BTC/USD,6706.6,6814.72,6620.0,6666.75,7165.21723333,47768711.99030278
1531008000,2018-07-08,BTC/USD,6755.46,6783.54,6674.6,6706.6,5145.84575684,34511129.15282314
1530921600,2018-07-07,BTC/USD,6604.74,6820.0,6510.0,6759.99,4842.79587112,32737251.66081249
1530835200,2018-07-06,BTC/USD,6533.69,6636.15,6449.76,6596.53,5457.67218749,36001698.31494341
1530748800,2018-07-05,BTC/USD,6575.62,6700.0,6445.31,6533.69,7692.21577694,50258553.29963511
1530662400,2018-07-04,BTC/USD,6507.99,6792.28,6413.2,6584.25,6706.7340062,44158813.38032235
1530576000,2018-07-03,BTC/USD,6605.46,6666.0,6464.39,6507.99,5924.86541706,38558964.88557231
1530489600,2018-07-02,BTC/USD,6345.48,6667.57,6270.69,6612.98,8799.80247408,58192917.76504155
1530403200,2018-07-01,BTC/USD,6385.75,6438.55,6259.34,6349.99,4160.70556721,26420438.744727824
1530316800,2018-06-30,BTC/USD,6204.01,6510.0,6190.28,6385.71,6915.08887702,44157752.192875385
1530230400,2018-06-29,BTC/USD,5845.2,6299.0,5774.72,6204.24,12067.37316767,74868879.30178492
1530144000,2018-06-28,BTC/USD,6135.64,6165.49,5818.14,5848.33,8878.39857291,51923804.725906745
